"STATUS_ID","DESCRIPTION","SEX","MIN_AGE_CLASS"
"2","Harem Cow with Pup","F","40"
"3","Dominant Bull","M","40"
"4","Assistant Beachmaster","M","40"
"5","Challenger","M","40"
"6","Bachelor Gay","M","30"
"7","Pregnant Cow","F","40"
"8","Moulting","B","1"
"9","Midyear haulout","B","1"
"10","Post-partum Cow","F","40"
"11","End-lactation Cow","F","40"
"12","Cow with dead pup","F","40"
"13","Cow who has abandoned pup","F","40"
"14","Cow with adopted pup","F","40"
"15","Cow who has aborted pup","F","40"
"16","Copulating Cow","F","40"
"98","Dead","B","1"
"99","Unknown","B","1"
"0","Cow with any type pup","F","40"
"17","Breeding Female","F","40"
